uid,atom_index,atomic_number,element,x,y,z
421,12,8,O,1.219861,2.72813,0.0
421,13,8,O,-1.219861,-2.72813,0.0
421,14,1,H,-2.113242,-3.115672,0.0
421,15,1,H,2.113242,3.115672,0.0
421,16,1,H,3.372815,-1.269386,0.0
421,17,1,H,-1.216617,2.501245,0.0
421,18,1,H,-3.372815,1.269386,0.0
421,19,1,H,-3.412858,-1.202659,0.0
421,20,1,H,1.216617,-2.501245,0.0
419,1,6,C,-0.265567,-0.71401,0.0
419,2,6,C,-0.265567,0.71401,0.0
419,3,6,C,0.991844,1.404862,0.0
419,4,6,C,2.213323,0.689897,0.0
419,5,6,C,2.213323,-0.689896,0.0
419,6,6,C,0.991844,-1.404862,0.0
419,7,6,C,-1.491139,-1.40594,0.0
419,8,6,C,-2.692139,-0.70035,0.0
419,9,6,C,-2.692139,0.70035,0.0
419,10,6,C,-1.491139,1.40594,0.0
419,11,1,H,3.154852,-1.232605,0.0
419,12,8,O,0.949023,-2.733236,0.0
419,13,8,O,0.949022,2.733236,0.0
419,14,1,H,1.838638,3.130458,0.0
419,15,1,H,1.838639,-3.130458,0.0
419,16,1,H,3.154852,1.232605,0.0
419,17,1,H,-1.491315,-2.490139,0.0
419,18,1,H,-3.63229,-1.242537,0.0
419,19,1,H,-3.63229,1.242537,0.0
419,20,1,H,-1.491315,2.490139,0.0
4374,1,6,C,0.0,0.0,0.716439
4374,2,6,C,0.0,0.0,-0.716439
4374,3,6,C,0.0,1.231103,-1.405462
4374,4,6,C,0.0,-1.231103,-1.405462
4374,5,6,C,0.0,1.231103,1.405462
4374,6,6,C,0.0,-1.231103,1.405462
4374,7,6,C,0.0,2.479962,-0.688389
4374,8,6,C,0.0,-2.479962,-0.688389
4374,9,6,C,0.0,2.479962,0.688389
4374,10,6,C,0.0,-2.479962,0.688389
4374,11,1,H,0.0,3.412181,-1.247358
4374,12,1,H,0.0,-3.412181,-1.247358
4374,13,1,H,0.0,3.412181,1.247358
4374,14,1,H,0.0,-3.412181,1.247358
4374,15,1,H,0.0,1.247678,-2.494466
4374,16,1,H,0.0,-1.247678,-2.494466
4374,17,1,H,0.0,1.247678,2.494466
4374,18,1,H,0.0,-1.247678,2.494466
465,1,6,C,0.0,0.280621,0.0
465,2,6,C,-1.039212,-0.704762,0.0
465,3,6,C,-0.693074,-2.082181,0.0
465,4,6,C,0.623854,-2.485607,0.0
465,5,6,C,1.658784,-1.52774,0.0
465,6,6,C,1.361211,-0.173171,0.0
465,7,6,C,-0.352716,1.654856,0.0
465,8,6,C,-1.675966,2.036882,0.0
465,9,6,C,-2.706356,1.066002,0.0
465,10,6,C,-2.393163,-0.273763,0.0
465,11,1,H,2.696386,-1.846054,0.0
465,12,6,C,2.430206,0.78079,0.0
465,13,7,N,3.294337,1.560521,0.0
465,14,1,H,0.874928,-3.542008,0.0
465,15,1,H,-1.492126,-2.819564,0.0
465,16,1,H,0.435885,2.40155,0.0
465,17,1,H,-1.932725,3.092469,0.0
465,18,1,H,-3.745249,1.383676,0.0
465,19,1,H,-3.178863,-1.025275,0.0
463,1,6,C,0.0,0.788331,0.0
463,2,6,C,-1.17404,-0.034845,0.0
463,3,6,C,-1.021704,-1.448707,0.0
463,4,6,C,0.221681,-2.030169,0.0
463,5,6,C,1.388984,-1.211441,0.0
463,6,6,C,1.273903,0.169231,0.0
463,7,6,C,-0.148104,2.202215,0.0
463,8,6,C,-1.398599,2.77638,0.0
463,9,6,C,-2.558782,1.962896,0.0
463,10,6,C,-2.448524,0.590263,0.0
463,11,6,C,2.684907,-1.824934,0.0
463,12,1,H,2.167422,0.786652,0.0
463,13,1,H,0.332695,-3.109464,0.0
463,14,1,H,-1.912666,-2.071359,0.0
463,15,1,H,0.74481,2.822325,0.0
463,16,1,H,-1.501345,3.857811,0.0
463,17,1,H,-3.540052,2.429213,0.0
463,18,1,H,-3.338348,-0.034383,0.0
463,19,7,N,3.732737,-2.330872,0.0
503,1,6,C,0.0,0.377022,0.0
503,2,6,C,-1.26853,-0.298824,0.0
503,3,6,C,-1.304892,-1.717668,0.0
503,4,6,C,-0.14463,-2.46148,0.0
503,5,6,C,1.101584,-1.809204,0.0
503,6,6,C,1.192822,-0.424947,0.0
503,7,6,C,-0.007345,1.800126,0.0
503,8,6,C,-1.189989,2.506924,0.0
503,9,6,C,-2.435247,1.836364,0.0
503,10,6,C,-2.468895,0.461977,0.0
503,11,1,H,2.027059,-2.376715,0.0
503,12,1,H,-3.418698,-0.067452,0.0
503,13,1,H,-0.187828,-3.546818,0.0
503,14,1,H,-2.274104,-2.211098,0.0
503,15,1,H,0.927247,2.349354,0.0
503,16,1,H,-1.165476,3.593252,0.0
503,17,1,H,-3.35846,2.40886,0.0
503,18,6,C,2.555914,0.160567,0.0
503,19,1,H,2.622407,1.265714,0.0
503,20,8,O,3.580388,-0.500031,0.0
501,1,6,C,0.0,0.752577,0.0
501,2,6,C,-1.26196,0.066642,0.0
501,3,6,C,-1.273102,-1.355521,0.0
501,4,6,C,-0.097943,-2.067565,0.0
501,5,6,C,1.152396,-1.392833,0.0
501,6,6,C,1.191474,-0.00874,0.0
501,7,6,C,0.011812,2.175393,0.0
501,8,6,C,-1.164593,2.888015,0.0
501,9,6,C,-2.40979,2.210138,0.0
501,10,6,C,-2.456808,0.834024,0.0
501,11,6,C,2.410411,-2.172342,0.0
501,12,1,H,2.158862,0.486673,0.0
501,13,1,H,-0.113216,-3.155393,0.0
501,14,1,H,-2.230344,-1.871093,0.0
501,15,1,H,0.970125,2.688725,0.0
501,16,1,H,-1.144957,3.974229,0.0
501,17,1,H,-3.331972,2.784886,0.0
501,18,1,H,-3.412595,0.315613,0.0
501,19,1,H,2.270525,-3.276808,0.0
501,20,8,O,3.527774,-1.690695,0.0
322,1,6,C,-0.309312,-0.61558,-3e-06
322,2,6,C,-0.573288,0.792124,4e-06
322,3,6,C,0.531334,1.686739,-2e-06
322,4,6,C,1.822618,1.216068,-1.6e-05
322,5,6,C,2.100289,-0.180747,-2.7e-05
322,6,6,C,1.03997,-1.062997,-1.3e-05
322,7,6,C,-1.407711,-1.516735,7e-06
322,8,6,C,-2.70394,-1.050959,2.6e-05
322,9,6,C,-2.963784,0.341481,3.7e-05
322,10,6,C,-1.920542,1.24081,2.6e-05
322,11,6,C,3.532281,-0.660707,-2.4e-05
322,12,1,H,1.229432,-2.134925,0.0
322,13,1,H,2.65418,1.917623,-3.4e-05
322,14,1,H,0.337807,2.757299,-1.4e-05
322,15,1,H,-1.206876,-2.58585,-1.7e-05
322,16,1,H,-3.53458,-1.751943,1.7e-05
322,17,1,H,-3.990899,0.696701,6.8e-05
322,18,1,H,-2.115397,2.311075,3.7e-05
322,19,1,H,4.075075,-0.296723,0.88173
322,20,1,H,3.588627,-1.753705,-0.000192
322,21,1,H,4.075137,-0.296528,-0.881681
320,1,6,C,-1.410364,0.681583,-0.000166
320,2,6,C,-2.288604,-0.383998,-0.000146
320,3,6,C,-1.834811,-1.724873,-7.7e-05
320,4,6,C,-0.488602,-1.999303,-4.8e-05
320,5,6,C,-0.000619,0.418074,-4.4e-05
320,6,6,C,0.460077,-0.941495,-3.8e-05
320,7,6,C,0.971528,1.456126,0.000164
320,8,6,C,1.857152,-1.198981,4e-05
320,9,6,C,2.320185,1.172487,0.000287
320,10,6,C,2.769903,-0.168637,0.000195
320,11,6,C,-1.931938,2.099585,-0.000194
320,12,1,H,-0.12998,-3.026049,-4.9e-05
320,13,1,H,-3.358511,-0.188636,-0.000248
320,14,1,H,-2.560105,-2.534391,-6.1e-05
320,15,1,H,0.64381,2.490938,0.000282
320,16,1,H,2.194391,-2.2332,1.1e-05
320,17,1,H,3.044714,1.982721,0.000481
320,18,1,H,3.835756,-0.381107,0.00027
320,19,1,H,-3.025975,2.110212,-0.001488
320,20,1,H,-1.592701,2.658443,-0.881616
320,21,1,H,-1.59483,2.657656,0.882576
507,1,6,C,0.0,0.382522,0.0
507,2,6,C,1.391749,0.034407,0.0
507,3,6,C,1.766846,-1.336296,0.0
507,4,6,C,0.807574,-2.319569,0.0
507,5,6,C,-0.567297,-1.98116,0.0
507,6,6,C,-0.977183,-0.665173,0.0
507,7,6,C,-0.345959,1.762593,0.0
507,8,6,C,0.622814,2.742801,0.0
507,9,6,C,1.993544,2.395115,0.0
507,10,6,C,2.364336,1.069536,0.0
507,11,1,H,-1.317537,-2.763247,0.0
507,12,1,H,1.097196,-3.367081,0.0
507,13,1,H,2.824289,-1.590172,0.0
507,14,1,H,-1.391885,2.054431,0.0
507,15,1,H,0.33285,3.790228,0.0
507,16,1,H,2.749572,3.175637,0.0
507,17,1,H,3.416165,0.792481,0.0
507,18,6,C,-2.449976,-0.31786,0.0
507,19,1,H,-2.680621,0.299605,0.884867
507,20,1,H,-2.680621,0.299605,-0.884867
507,21,8,O,-3.228455,-1.506081,0.0
507,22,1,H,-4.160453,-1.244342,0.0
505,1,6,C,0.0,0.779833,0.0
505,2,6,C,1.331974,0.253665,0.0
505,3,6,C,1.501971,-1.157896,0.0
505,4,6,C,0.415416,-1.998746,0.0
505,5,6,C,-0.909377,-1.481886,0.0
505,6,6,C,-1.101931,-0.118768,0.0
505,7,6,C,-0.177399,2.189411,0.0
505,8,6,C,0.907107,3.038493,0.0
505,9,6,C,2.223708,2.516635,0.0
505,10,6,C,2.429363,1.154732,0.0
505,11,6,C,-2.066434,-2.454245,0.0
505,12,1,H,-2.111995,0.277579,0.0
505,13,1,H,0.566376,-3.076791,0.0
505,14,1,H,2.510532,-1.565121,0.0
505,15,1,H,-1.189347,2.587758,0.0
505,16,1,H,0.756008,4.114746,0.0
505,17,1,H,3.071711,3.196289,0.0
505,18,1,H,3.439078,0.750005,0.0
505,19,1,H,-1.986057,-3.109481,0.884737
505,20,1,H,-1.986057,-3.109481,-0.884737
505,21,8,O,-3.298012,-1.748851,0.0
505,22,1,H,-4.01255,-2.402054,0.0
466,1,6,C,0.0,0.280819,0.0
466,2,6,C,-1.031554,-0.711797,0.0
466,3,6,C,-0.683535,-2.078871,0.0
466,4,6,C,0.663321,-2.483665,0.0
466,5,6,C,1.677488,-1.535602,0.0
466,6,6,C,1.361738,-0.155674,0.0
466,7,6,C,-0.36156,1.64568,0.0
466,8,6,C,-1.714562,2.029712,0.0
466,9,6,C,-2.72185,1.066946,0.0
466,10,6,C,-2.386698,-0.294848,0.0
466,11,1,H,2.719196,-1.838643,0.0
466,12,6,C,2.42187,0.794405,0.0
466,13,7,N,3.283354,1.579098,0.0
466,14,1,H,0.909626,-3.540364,0.0
466,15,1,H,-1.469869,-2.828816,0.0
466,16,1,H,0.413331,2.406999,0.0
466,17,1,H,-1.96705,3.085221,0.0
466,18,1,H,-3.76508,1.365442,0.0
466,19,1,H,-3.171583,-1.046166,0.0
464,1,6,C,0.0,0.78295,0.0
464,2,6,C,-1.175273,-0.037617,0.0
464,3,6,C,-1.030752,-1.447207,0.0
464,4,6,C,0.232378,-2.044643,0.0
464,5,6,C,1.383406,-1.242328,0.0
464,6,6,C,1.265085,0.17142,0.0
464,7,6,C,-0.142271,2.19587,0.0
464,8,6,C,-1.414024,2.788366,0.0
464,9,6,C,-2.555367,1.988797,0.0
464,10,6,C,-2.441487,0.584722,0.0
464,11,6,C,2.683474,-1.832373,0.0
464,12,1,H,2.165899,0.778316,0.0
464,13,1,H,0.328432,-3.125076,0.0
464,14,1,H,-1.917929,-2.074346,0.0
464,15,1,H,0.7469,2.820464,0.0
464,16,1,H,-1.503827,3.869782,0.0
464,17,1,H,-3.540471,2.444502,0.0
464,18,1,H,-3.338896,-0.027944,0.0
464,19,7,N,3.746982,-2.304777,0.0
504,1,6,C,0.0,0.379267,0.0
504,2,6,C,-1.268636,-0.294574,0.0
504,3,6,C,-1.311489,-1.707462,0.0
504,4,6,C,-0.130215,-2.466624,0.0
